               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1253,            0.029509,            0.028597,           0.0013586,             0.34596,           0.0014127,          0.00030739,             0.11563,            0.021578,            0.030177,              0.0964,              0.0004,              0.0004
                   1,             0.11233,            0.029218,            0.027457,           0.0012705,             0.34363,           0.0011866,          0.00025863,             0.10959,            0.019197,            0.029397,            0.091891,          0.00089109,          0.00089109
                   2,             0.11143,            0.028307,            0.026089,           0.0012256,             0.35117,           0.0012559,          0.00028399,            0.091822,            0.018371,            0.028651,            0.087372,           0.0013723,           0.0013723
                   3,            0.093232,             0.03086,            0.023975,           0.0015543,             0.44719,           0.0021077,          0.00046652,             0.07828,            0.018282,             0.02833,            0.082844,           0.0018436,           0.0018436
                   4,            0.082426,            0.028825,            0.022315,           0.0020189,             0.56099,           0.0076922,            0.001621,             0.07147,            0.017619,            0.027945,            0.078305,            0.002305,            0.002305
                   5,             0.07665,            0.027366,            0.018858,           0.0022577,             0.57601,           0.0086273,           0.0020325,            0.067706,            0.017561,            0.029136,            0.073756,           0.0027564,           0.0027564
                   6,            0.075404,            0.030015,             0.01835,            0.064693,             0.12421,            0.039346,            0.010691,            0.064613,              0.0165,            0.029683,            0.069198,            0.003198,            0.003198
                   7,            0.073786,            0.029826,            0.017047,             0.59156,             0.11948,            0.058643,            0.016685,            0.064674,            0.015992,            0.031656,             0.06463,           0.0036297,           0.0036297
                   8,            0.066662,            0.025358,            0.015103,             0.59406,            0.078076,              0.0387,           0.0095183,            0.070539,            0.012915,            0.027688,            0.060052,           0.0040515,           0.0040515
                   9,            0.068641,            0.023454,             0.01755,             0.60539,            0.071767,            0.042209,            0.010942,            0.069236,            0.012626,             0.02682,            0.055463,           0.0044634,           0.0044634
                  10,            0.074032,            0.021991,             0.01435,             0.55276,            0.048502,            0.025267,           0.0055784,             0.06877,            0.012429,            0.027481,            0.050865,           0.0048654,           0.0048654
                  11,            0.065641,             0.01843,           0.0099029,             0.57467,             0.08123,            0.037895,            0.010216,            0.068016,            0.012177,            0.029098,            0.046257,           0.0052575,           0.0052575
                  12,            0.068509,            0.021373,             0.01222,             0.56639,            0.083596,            0.027826,           0.0065194,            0.069248,            0.011923,            0.029697,             0.04164,           0.0056397,           0.0056397
                  13,            0.066562,            0.018731,           0.0080328,             0.59208,             0.09582,            0.050757,            0.014477,            0.067738,            0.011981,            0.029816,            0.037012,            0.006012,            0.006012
                  14,            0.066867,            0.020662,            0.011109,             0.54854,            0.070189,            0.021888,           0.0062533,            0.066198,            0.011654,            0.026135,            0.032374,           0.0063744,           0.0063744
                  15,             0.06502,            0.020175,           0.0099714,             0.61429,            0.096276,            0.058763,            0.016542,            0.068389,            0.010779,            0.027237,            0.027727,           0.0067268,           0.0067268
                  16,            0.064837,            0.020415,            0.010635,             0.53802,            0.093849,             0.02845,           0.0071318,             0.06621,            0.010665,             0.02965,            0.023069,           0.0070694,           0.0070694
                  17,            0.067668,            0.019398,            0.011619,             0.53451,            0.086356,            0.023251,           0.0056776,            0.068639,            0.013896,            0.032304,            0.018402,           0.0074021,           0.0074021
                  18,            0.062758,            0.020073,           0.0079184,             0.58428,            0.096609,            0.051269,            0.013107,            0.063226,             0.01321,            0.031459,            0.013725,           0.0077249,           0.0077249
                  19,            0.057424,            0.020805,           0.0091002,             0.59914,             0.11632,             0.07261,            0.016522,            0.062355,            0.012517,            0.032126,           0.0090378,           0.0080378,           0.0080378
                  20,            0.069522,            0.019782,           0.0097546,             0.61733,             0.12924,            0.079539,            0.021138,            0.062788,            0.010941,            0.030261,             0.00802,             0.00802,             0.00802
                  21,            0.061654,            0.017628,           0.0078236,             0.57798,              0.1392,            0.050721,            0.012505,            0.064334,            0.010693,            0.029021,             0.00802,             0.00802,             0.00802
                  22,            0.067402,            0.017291,           0.0077654,             0.57645,            0.086356,            0.038114,             0.00973,            0.068822,           0.0096353,            0.027524,            0.007921,            0.007921,            0.007921
                  23,            0.064333,            0.016541,           0.0063416,             0.53922,            0.086751,            0.026327,            0.006008,            0.060771,            0.011121,            0.027685,            0.007822,            0.007822,            0.007822
                  24,            0.064587,            0.015662,           0.0072992,             0.64286,             0.12618,             0.10214,             0.02999,            0.058505,            0.011101,            0.027772,            0.007723,            0.007723,            0.007723
                  25,            0.059115,            0.016469,           0.0080753,             0.61661,             0.14356,             0.11129,            0.030815,            0.059443,            0.011576,            0.029473,            0.007624,            0.007624,            0.007624
                  26,            0.056807,            0.017456,           0.0058462,              0.6382,             0.13683,             0.10403,            0.028446,            0.060119,            0.012237,            0.030378,            0.007525,            0.007525,            0.007525
                  27,            0.056415,            0.013781,           0.0061642,             0.60694,             0.12145,            0.085459,            0.025736,            0.063218,            0.010734,            0.028644,            0.007426,            0.007426,            0.007426
                  28,            0.054156,            0.016862,           0.0048557,             0.59557,             0.10174,            0.066219,            0.018828,            0.059411,            0.011786,            0.030308,            0.007327,            0.007327,            0.007327
                  29,            0.053896,            0.017624,           0.0044776,             0.65815,             0.12855,             0.10707,            0.031537,             0.05971,            0.011682,            0.032684,            0.007228,            0.007228,            0.007228
                  30,            0.048614,            0.015276,           0.0047789,             0.60933,             0.13407,            0.089546,            0.026804,            0.057317,            0.011143,            0.029519,            0.007129,            0.007129,            0.007129
                  31,            0.046069,            0.014277,           0.0039243,             0.66334,             0.14235,             0.13821,            0.048248,            0.059336,            0.010642,            0.030608,             0.00703,             0.00703,             0.00703
                  32,            0.057792,            0.016314,           0.0035667,              0.6322,             0.13801,             0.10558,            0.027725,            0.058593,            0.010775,            0.029673,            0.006931,            0.006931,            0.006931
                  33,            0.047621,            0.015486,            0.002894,             0.13096,             0.17018,             0.10525,            0.041594,            0.058488,            0.011322,            0.027991,            0.006832,            0.006832,            0.006832
                  34,            0.048079,              0.0138,           0.0031213,             0.16421,             0.19654,             0.13523,            0.049292,            0.056884,            0.010991,            0.028861,            0.006733,            0.006733,            0.006733
